p	N	S	T
1	1	2550.0000000000	0.0000035000
1	2	4575.0000000000	0.0000055000
1	4	5081.2500000000	0.0000039000
1	7	5194.8979591837	0.0000038000
1	10	5223.0000000000	0.0000038000
1	22	5244.4214876033	0.0000037000
1	47	5248.7777274785	0.0000040000
1	100	5249.7300000000	0.0000040000
1	220	5249.9442148760	0.0000046000
1	470	5249.9877772748	0.0000053000
1	1000	5249.9973000000	0.0000061000
1	2200	5249.9994421488	0.0000079000
1	4700	5249.9998777728	0.0000132000
1	10000	5249.9999730000	0.0000262000
1	22000	5249.9999944215	0.0000476000
1	47000	5249.9999987777	0.0000984001
1	100000	5249.9999997299	0.0002074000
1	220000	5249.9999999442	0.0004515000
1	470000	5249.9999999877	0.0009799000
1	1000000	5249.9999999975	0.0020229000
1	2200000	5249.9999999997	0.0045205000
1	4700000	5249.9999999993	0.0095997000
1	10000000	5250.0000000004	0.0201572000
1	22000000	5250.0000000003	0.0443817000
1	47000000	5250.0000000014	0.0946491000
1	100000000	5249.9999999997	0.2014111000
1	220000000	5249.9999999990	0.4447952000
1	470000000	5249.9999999987	0.9494546000
1	1000000000	5249.9999999958	2.0195461001
1	2200000000	5249.9999999861	4.4649085000
1	4700000000	5249.9999999630	9.5974580000
1	10000000000	5249.9999998957	20.2912293000
2	1	2550.0000000000	0.0005931000
2	2	4575.0000000000	0.0003187000
2	4	5081.2500000000	0.0004142000
2	7	5194.8979591837	0.0004119000
2	10	5223.0000000000	0.0002574000
2	22	5244.4214876033	0.0004414000
2	47	5248.7777274785	0.0005540000
2	100	5249.7300000000	0.0004257000
2	220	5249.9442148760	0.0004386000
2	470	5249.9877772748	0.0004112000
2	1000	5249.9973000000	0.0005130000
2	2200	5249.9994421488	0.0003394000
2	4700	5249.9998777728	0.0004612000
2	10000	5249.9999730000	0.0003667000
2	22000	5249.9999944215	0.0004845000
2	47000	5249.9999987777	0.0004611000
2	100000	5249.9999997300	0.0004747000
2	220000	5249.9999999441	0.0005992000
2	470000	5249.9999999877	0.0009007000
2	1000000	5249.9999999974	0.0014051000
2	2200000	5249.9999999995	0.0027168000
2	4700000	5249.9999999997	0.0052084000
2	10000000	5250.0000000000	0.0106065000
2	22000000	5250.0000000002	0.0226252000
2	47000000	5250.0000000007	0.0550314000
2	100000000	5249.9999999998	0.1024464000
2	220000000	5249.9999999993	0.2241777000
2	470000000	5249.9999999983	0.4914981000
2	1000000000	5249.9999999953	1.0468861000
2	2200000000	5249.9999999869	2.2930998000
2	4700000000	5249.9999999627	4.8814037000
2	10000000000	5249.9999998949	10.4320729000
3	1	2550.0000000000	0.0005617000
3	2	4575.0000000000	0.0006285000
3	4	5081.2500000000	0.0007278000
3	7	5194.8979591837	0.0007699000
3	10	5223.0000000000	0.0007255000
3	22	5244.4214876033	0.0007137000
3	47	5248.7777274785	0.0006188000
3	100	5249.7300000000	0.0007007000
3	220	5249.9442148760	0.0006879000
3	470	5249.9877772748	0.0006531000
3	1000	5249.9973000000	0.0006907000
3	2200	5249.9994421488	0.0006373000
3	4700	5249.9998777728	0.0009032000
3	10000	5249.9999730000	0.0007210000
3	22000	5249.9999944215	0.0009713999
3	47000	5249.9999987777	0.0006496000
3	100000	5249.9999997300	0.0007380000
3	220000	5249.9999999441	0.0010934000
3	470000	5249.9999999877	0.0010714000
3	1000000	5249.9999999973	0.0014173000
3	2200000	5249.9999999994	0.0021307000
3	4700000	5249.9999999997	0.0037997999
3	10000000	5249.9999999999	0.0074546000
3	22000000	5249.9999999999	0.0184694000
3	47000000	5250.0000000010	0.0333091000
3	100000000	5250.0000000020	0.0686480000
3	220000000	5250.0000000032	0.1559529000
3	470000000	5250.0000000060	0.3546764000
3	1000000000	5250.0000000198	0.7377088000
3	2200000000	5250.0000000488	1.5724643000
3	4700000000	5250.0000001205	3.3447044000
3	10000000000	5250.0000002980	7.1909958000
4	1	2550.0000000000	0.0008819000
4	2	4575.0000000000	0.0009260000
4	4	5081.2500000000	0.0012072000
4	7	5194.8979591837	0.0010847000
