N	S	Twin	Tomp
1000000	1000000	0.0020000001	0.0023197000
1000000	1000000	0.0020000001	0.0025842000
1000000	1000000	0.0020000001	0.0020578000
1000000	1000000	0.0020000001	0.0024845000
1000000	1000000	0.0020000001	0.0023428000
1000000	1000000	0.0040000002	0.0048187000
1000000	1000000	0.0020000001	0.0025803000
1000000	1000000	0.0030000000	0.0030081000
1000000	1000000	0.0020000001	0.0026989000
1000000	1000000	0.0020000001	0.0023408000
10000000	10000000	0.0030000000	0.0032044000
10000000	10000000	0.0030000000	0.0035310000
10000000	10000000	0.0030000000	0.0032463000
10000000	10000000	0.0030000000	0.0033728000
10000000	10000000	0.0040000002	0.0042648000
10000000	10000000	0.0040000002	0.0044507000
10000000	10000000	0.0040000002	0.0041957000
10000000	10000000	0.0030000000	0.0034228000
10000000	10000000	0.0040000002	0.0047038000
10000000	10000000	0.0040000002	0.0040596000
100000000	100000000	0.0140000004	0.0142881000
100000000	100000000	0.0149999997	0.0153145000
100000000	100000000	0.0149999997	0.0153661000
100000000	100000000	0.0130000003	0.0138936000
100000000	100000000	0.0189999994	0.0190919000
100000000	100000000	0.0140000004	0.0145063000
100000000	100000000	0.0160000008	0.0161803000
100000000	100000000	0.0140000004	0.0149029000
100000000	100000000	0.0160000008	0.0166007000
100000000	100000000	0.0149999997	0.0152147000
1000000000	1000000000	0.1190000027	0.1193118000
1000000000	1000000000	0.1239999980	0.1240261000
1000000000	1000000000	0.1180000007	0.1184427000
1000000000	1000000000	0.1190000027	0.1191873000
1000000000	1000000000	0.1270000041	0.1271229000
1000000000	1000000000	0.1230000034	0.1237273000
1000000000	1000000000	0.1169999987	0.1175262000
1000000000	1000000000	0.1159999967	0.1166295000
1000000000	1000000000	0.1180000007	0.1183692000
1000000000	1000000000	0.1180000007	0.1184554000
10000000000	10000000000	1.1469999552	1.1474076000
10000000000	10000000000	1.1640000343	1.1641791000
10000000000	10000000000	1.1699999571	1.1699630000
10000000000	10000000000	1.1829999685	1.1835688000
10000000000	10000000000	1.1900000572	1.1902317000
10000000000	10000000000	1.2619999647	1.2627843000
10000000000	10000000000	1.2690000534	1.2696855000
10000000000	10000000000	1.2309999466	1.2317554000
10000000000	10000000000	1.2180000544	1.2182072000
10000000000	10000000000	1.2450000048	1.2449338000
100000000000	100000000000	13.1870002747	13.1873533000
100000000000	100000000000	11.5229997635	11.5231752000
100000000000	100000000000	11.6059999466	11.6063037000
100000000000	100000000000	11.5699996948	11.5703347000
100000000000	100000000000	11.3529996872	11.3533138000
100000000000	100000000000	11.8870000839	11.8875637000
100000000000	100000000000	12.9510002136	12.9515948000
100000000000	100000000000	11.6730003357	11.6729617000
100000000000	100000000000	12.2049999237	12.2053140000
100000000000	100000000000	11.6700000763	11.6699729000
