p	S	T
1	100000000000	18.0220244000	199999999999
2	100000000000	9.4914937000	99999999999
3	100000000000	6.7873616000	99999999999
4	100000000000	5.5729901000	74999999999
5	100000000000	4.6598416000	119999999999
6	100000000000	4.2090943000	99999999999
7	100000000000	4.0748917000	99999999999
8	100000000000	3.8170295000	49999999999
9	100000000000	3.5986523000	77777777777
10	100000000000	3.5425773000	59999999999
11	100000000000	3.4751295000	90909090909
12	100000000000	3.5616476000	108333333332
1	100000000000	18.0875312000	199999999999
2	100000000000	9.3858953000	99999999999
3	100000000000	6.6904972000	133333333332
4	100000000000	5.4399023000	99999999999
5	100000000000	4.6145853000	119999999999
6	100000000000	4.4187937000	116666666665
7	100000000000	4.1134119000	99999999999
8	100000000000	3.8417171000	74999999999
9	100000000000	3.6434713000	66666666666
10	100000000000	3.6795437000	99999999999
11	100000000000	3.4861104000	45454545454
12	100000000000	3.6054679000	99999999999
1	100000000000	17.9910112000	199999999999
2	100000000000	9.4856284000	149999999999
3	100000000000	6.6836727000	99999999999
4	100000000000	5.4955511000	74999999999
5	100000000000	4.8645776000	59999999999
6	100000000000	4.4807290000	66666666667
7	100000000000	4.0642549000	42857142857
8	100000000000	4.1082715000	87499999999
9	100000000000	3.6910552999	44444444444
10	100000000000	3.6875554000	109999999999
11	100000000000	3.7051315000	109090909089
12	100000000000	3.6529760000	33333333335
1	100000000000	18.0372698000	199999999999
2	100000000000	9.5519103000	149999999999
3	100000000000	7.1301724000	66666666667
4	100000000000	5.4570067000	124999999999
5	100000000000	4.6783814000	119999999999
6	100000000000	4.2726447000	116666666665
7	100000000000	4.0319832000	85714285715
8	100000000000	3.8780271000	24999999999
9	100000000000	3.6824793000	44444444444
10	100000000000	3.5466558000	29999999999
11	100000000000	3.5018885000	45454545454
12	100000000000	3.5408028000	33333333335
1	100000000000	18.1166827000	199999999999
2	100000000000	9.5640298000	149999999999
3	100000000000	6.7280348000	66666666667
4	100000000000	5.4124167000	49999999999
5	100000000000	4.7066548000	39999999999
6	100000000000	4.3301501000	116666666665
7	100000000000	4.0194075000	71428571429
8	100000000000	3.8478004000	74999999999
9	100000000000	3.5992534000	33333333333
10	100000000000	3.7292685000	29999999999
11	100000000000	4.2001040000	90909090909
12	100000000000	3.9656386000	58333333334
