N	S	T
1	2550.0000000000	0.0000001000
2	4575.0000000000	0.0000000000
3	4950.0000000000	0.0000001000
4	5081.2500000000	0.0000001000
5	5142.0000000000	0.0000001000
6	5175.0000000000	0.0000001000
7	5194.8969726562	0.0000001000
8	5207.8125000000	0.0000001000
9	5216.6660156250	0.0000001000
10	5223.0000000000	0.0000001000
20	5243.2500000000	0.0000002000
30	5246.9995117188	0.0000002000
40	5248.3125000000	0.0000003000
50	5248.9208984375	0.0000003000
60	5249.2500000000	0.0000004000
70	5249.4487304688	0.0000004000
80	5249.5786132812	0.0000004000
90	5249.6665039062	0.0000005000
100	5249.7299804688	0.0000006000
200	5249.9345703125	0.0000010000
300	5249.9702148438	0.0000015000
400	5249.9848632812	0.0000020000
500	5249.9912109375	0.0000024000
600	5249.9926757812	0.0000029000
700	5249.9951171875	0.0000036000
800	5249.9936523438	0.0000039000
900	5250.0019531250	0.0000044000
1000	5249.9956054688	0.0000050000
2000	5250.0014648438	0.0000097000
3000	5250.0048828125	0.0000147000
4000	5249.9990234375	0.0000194000
5000	5250.0043945312	0.0000242000
6000	5249.9951171875	0.0000292000
7000	5250.0014648438	0.0000341000
8000	5250.0048828125	0.0000389000
9000	5249.9965820312	0.0000437000
10000	5249.9980468750	0.0001250000
100000	5249.9858398438	0.0004860000
200000	5249.8945312500	0.0009761000
300000	5250.3261718750	0.0014726000
400000	5250.2934570312	0.0019575000
500000	5250.8691406250	0.0025029000
600000	5248.5786132812	0.0030112000
700000	5248.6870117188	0.0034973000
800000	5248.8872070312	0.0040876000
900000	5249.4423828125	0.0044479000
1000000	5248.5332031250	0.0048833000
2000000	5254.7006835938	0.0098560000
4000000	5243.1933593750	0.0194995000
6000000	5292.2944335938	0.0293050000
8000000	5241.7309570312	0.0391095000
10000000	5128.0107421875	0.0503724000
12000000	5203.5029296875	0.0586273000
14000000	5179.0214843750	0.0687965000
16000000	5370.0415039062	0.0786466000
18000000	5457.1176757812	0.0879547001
20000000	5520.0546875000	0.0978548000
22000000	5682.0029296875	0.1081879000
24000000	5761.3964843750	0.1180442999
26000000	5554.9077148438	0.1270010000
28000000	5377.9169921875	0.1367861000
30000000	5224.5258789062	0.1463983000
32000000	5090.3076171875	0.1556611000
34000000	4971.8808593750	0.1668868000
36000000	4879.0791015625	0.1760511000
38000000	4879.0795898438	0.1850195000
40000000	4879.0800781250	0.1955789000
42000000	4879.0791015625	0.2047531000
44000000	4879.0791015625	0.2147172000
46000000	4879.0795898438	0.2238726000
48000000	4879.0791015625	0.2339495000
50000000	4879.0800781250	0.2441916000
